"1","Administration","Main Building, Ground Floor"
"2","Radiology","Main Building, Ground Floor"
"3","Medicine","Main Building, Ground Floor, West Wing"
"4","ENT","Main Building, Ground Floor, West Wing"
"5","Surgeon Superintendent","Main Building, Ground Floor, East Wing"
"6","Medical Records","Main Building, Ground Floor, East Wing"
"7","Surgery","Main Building, First Floor, West Wing"
"8","Cardiology","Main Building, First Floor, West Wing"
"9","Intensive Care Unit","Main Building, First Floor, East Wing"
"10","Orthopedic","Main Building, First Floor, East Wing"
